TrackObjects_Label_1,DAPI,NANOG,GATA4,GATA3,BF,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,NANOG_Cor,GATA4_Cor,GATA3_Cor,BF_Cor,Treatment,batch
273,12.347748928571429,6.034419885714286,4.050880571428571,2.1993748857142856,39.6188658,167.3036974,115.22175055714285,173,7,1565,500FGF_2_241223,TE,4.77804402985827,3.383305613117421,2.2947534962421927,3.410524775761372,3.7561714558680968,500ng/ml FGF,Batch 2
274,11.5841912,7.571308263157894,4.383725805263158,4.702469215789474,34.519185136842104,403.6964085315789,260.4313280842105,182,19,6522,500FGF_2_241223,TE,4.832021723250957,3.6926871495585574,2.420318370152059,4.306835683448628,3.6223803553740876,500ng/ml FGF,Batch 2
276,9.562814426086955,5.8495433347826085,4.0831970956521735,3.461663373913044,48.79212185652174,253.60158378695652,108.63186216086956,185,23,10283,500FGF_2_241223,TE,4.6795341506990535,3.4621883417884165,2.3648353384023153,4.0459783040567565,3.9697660033832096,500ng/ml FGF,Batch 2
277,12.576265075,5.86234825,4.27246335,0.9238601750000001,25.563415175000003,285.136951575,396.836752025,176.5,4,1055,500FGF_2_241223,TE,4.842196263887316,3.386459470598718,2.3661315019918225,2.5962722594812813,3.3195847066485604,500ng/ml FGF,Batch 2
287,11.12966696521739,6.7557399652173915,4.190900834782608,4.365387339130435,47.4889832,103.1661079126087,212.66051316086956,191,23,7812,500FGF_2_241223,TE,4.909804569356821,3.6612141287341724,2.4219381510938103,4.368877062713306,3.9453607354201576,500ng/ml FGF,Batch 2
291,9.372257266666667,5.727886305555555,4.2190902277777775,2.159652527777778,27.370126916666663,261.03153835,410.92569794999997,191.22222222222223,16,9424,500FGF_2_241223,TE,4.740854861202596,3.4982078629228104,2.4297924707938927,3.66850928596621,3.3944154247306866,500ng/ml FGF,Batch 2
294,6.21400948,5.32816436,4.05497914,1.8974180999999999,28.744857219999997,310.48548732,392.05893486,186,5,1441,500FGF_2_241223,TE,4.26155399757593,3.3779997277830978,2.3630787717284543,3.459904807196277,3.4411017400205295,500ng/ml FGF,Batch 2
296,6.617541200000001,4.85452605,3.959275883333333,1.1336286500000001,40.446315483333336,281.63747973333335,105.4459124,187.5,6,1335,500FGF_2_241223,TE,4.34410549273737,3.2986560455120495,2.346961979910205,2.967606687416745,3.783283859483407,500ng/ml FGF,Batch 2
301,9.741348723809525,6.182121261904762,4.058697161904762,3.9041706142857144,42.251566485714285,351.9762268714286,327.0563163095238,197,21,11160,500FGF_2_241223,TE,4.855110916045272,3.62748361930724,2.4209532654570225,4.348165249478475,3.8311704613850646,500ng/ml FGF,Batch 2
305,16.507973,7.46098855,4.30179178125,6.5108440625,37.94948315,138.26829365,217.78897134375,198.5,16,4113,500FGF_2_241223,TE,5.40220553582343,3.829257098488128,2.4868884809358365,4.8823154875053785,3.724451631189623,500ng/ml FGF,Batch 2
